Compound ID,Target,E3 ligase,Smiles_protacs,Molecular Weight,XLogP3,Heavy Atom Count,Hydrogen Bond Acceptor Count,Hydrogen Bond Donor Count,Ring Count,Rotatable Bond Count,Topological Polar Surface Area,Smiles_linker,Smiles_R
5915,SQS,VHL,CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)COCCOCCNC(=O)C3CCN(C(=O)CCC(=O)N(CC(C)(C)C)C4=CC=C(Cl)C=C4C(O)C4=CC=CC=C4Cl)CC3)C(C)(C)C)C=C2)SC=N1,1107.212,6.03,76,12,5,6,22,220.04,CCOCCOC,[R1]CCOCCOC[R2]
5923,SQS,VHL,COC1=CC=C(CCC(=O)NC2=NC3=CC=C(CCC(=O)NCCOCCOCC(=O)N[C@H](C(=O)N4C[C@H](O)C[C@H]4C(=O)NCC4=CC=C(C5=C(C)N=CS5)C=C4)C(C)(C)C)C=C3S2)C=C1OC,972.2,5.05,68,14,5,6,23,219.64,CCOCCOC,[R1]CCOCCOC[R2]
1375,BTK,VHL,CCC(=O)N1C[C@@H](N2N=C(C3=CC=C(OC4=CC=CC=C4)C=C3)C3=C(N)N=CN=C32)C[C@H]1C(=O)OCCOCCOCC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)NCC1=CC=C(C2=C(C)N=CS2)C=C1)C(C)(C)C,1031.206,4.87,74,17,4,8,20,255.55,CCOCCOC,[R1]CCOCCOC[R2]
4133,cIAP1,VHL,CN[C@@H](C)C(=O)N[C@H](C(=O)N1C[C@@H](OC2=CC=CC(OCCOCCOCC(=O)N[C@H](C(=O)N3C[C@H](O)C[C@H]3C(=O)NCC3=CC=C(C4=C(C)N=CS4)C=C3)C(C)(C)C)=C2)C[C@H]1C(=O)N[C@@H]1CCCC2=CC=CC=C21)C1CCCCC1,1135.439,6.79,81,14,6,8,24,239.09,CCOCCOC,[R1]CCOCCOC[R2]
750,BTK,VHL,CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)COCCOCCN3CCC(N4N=C(C5=CC=C(OC6=CC=CC=C6)C=C5)C5=C(N)N=CN=C54)CC3)C(C)(C)C)C=C2)SC=N1,945.16,5.34,68,15,4,8,18,212.18,CCOCCOC,[R1]CCOCCOC[R2]
213,BTK,CRBN,NC(=O)C1=C(N)N([C@@H]2CCCN(C(=O)COCCOCCNC3=CC=CC4=C3C(=O)N(C3CCC(=O)NC3=O)C4=O)C2)N=C1C1=CC=C(OC2=CC=C(F)C=C2F)C=C1,814.803,2.83,59,13,4,7,15,230.51,CCOCCOC,[R1]CCOCCOC[R2]
2634,SOS1,VHL,CC1=CC(CN2C(N3CC4(CNC4)C3)=NC3=C(N4CCN(CCOCCOCC(=O)N[C@H](C(=O)N5C[C@H](O)C[C@H]5C(=O)N[C@@H](C)C5=CC=C(C6=C(C)N=CS6)C=C5)C(C)(C)C)CC4)C=C(Cl)C=C32)=CC(C)=C1F,1041.736,6.34,73,14,4,9,18,169.66,CCOCCOC,[R1]CCOCCOC[R2]
4514,NAMPT,VHL,CC1=C(C2=CC=C([C@H](C)NC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)COCCOCCN3CCN(S(=O)(=O)C4=CC=C(NC(=O)NCC5=CC=CN=C5)C=C4)CC3)C(C)(C)C)C=C2)SC=N1,948.182,2.53,66,13,5,6,19,224.73,CCOCCOC,[R1]CCOCCOC[R2]
2030,CDK6,VHL,CC(=O)C1=C(C)C2=CN=C(NC3=CC=C(N4CCN(CCOCCOCC(=O)N[C@H](C(=O)N5C[C@H](O)C[C@H]5C(=O)NCC5=CC=C(C6=C(C)N=CS6)C=C5)C(C)(C)C)CC4)C=N3)N=C2N(C2CCCC2)C1=O,1006.244,4.1,72,17,4,8,19,226.34,CCOCCOC,[R1]CCOCCOC[R2]
2889,FAK,VHL,CNC(=O)C1=CC=CC=C1NC1=CC(NC2=CC=C(N3CCN(CCOCCOCC(=O)N[C@H](C(=O)N4C[C@H](O)C[C@H]4C(=O)N[C@@H](C)C4=CC=C(C5=C(C)N=CS5)C=C4)C(C)(C)C)CC3)C=C2OC)=NC=C1C(F)(F)F,1073.253,7.11,76,15,6,7,21,211.85,CCOCCOC,[R1]CCOCCOC[R2]
639,BCL-xL,VHL,CC1=C(C2=CC=C([C@H](C)NC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)COCCOCCN(C)CC[C@H](CSC3=CC=CC=C3)NC3=CC=C(S(=O)(=O)NC(=O)C4=CC=C(N5CCN(CC6=C(C7=CC=C(Cl)C=C7)CCC(C)(C)C6)CC5)C=C4)C=C3S(=O)(=O)C(F)(F)F)C(C)(C)C)C=C2)SC=N1,1491.298,12.17,101,18,5,9,30,249.22,CCOCCOC,[R1]CCOCCOC[R2]
76,ER,VHL,CCN(CCOCCOCC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)N[C@@H](C)C1=CC=C(C2=C(C)N=CS2)C=C1)C(C)(C)C)CCOC1=CC=C(C(=O)C2=C(C3=CC=C(O)C=C3)SC3=CC(O)=CC=C23)C=C1,1006.257,7.83,71,14,5,7,22,200.09,CCOCCOC,[R1]CCOCCOC[R2]
5347,AR,VHL,CC1=C(C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)COCCOCCOC3=CC=C(Cl)C=C3C(=O)NC3=CC=C([N+](=O)[O-])C=C3Cl)C(C)(C)C)C=C2)SC=N1,885.824,5.63,60,12,4,5,18,211.56,CCOCCOC,[R1]CCOCCOC[R2]
1373,BTK,VHL,C=CC(=O)N1C[C@@H](N2N=C(C3=CC=C(OC4=CC=CC=C4)C=C3)C3=C(N)N=CN=C32)C[C@H]1C(=O)OCCOCCOCC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)NCC1=CC=C(C2=C(C)N=CS2)C=C1)C(C)(C)C,1029.19,4.99,74,17,4,8,20,255.55,CCOCCOC,[R1]CCOCCOC[R2]
5556,AURKA,VHL,COC1=CC(NC2=NC=C3CN=C(C4=C(F)C=CC=C4OC)C4=CC(Cl)=CC=C4C3=N2)=CC=C1C(=O)NCCOCCOCC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)NCC1=CC=C(C2=C(C)N=CS2)C=C1)C(C)(C)C,1076.649,6.59,76,15,5,8,20,227.82,CCOCCOC,[R1]CCOCCOC[R2]
